primaryName,tconst_x,averageRating,numVotes,titleType,primaryTitle,isAdult,runtimeMinutes
David Smith,tt0427038,5.0,4847,video,Carlito's Way: Rise to Power,0,100
David Smith,tt6451036,7.6,88,tvSeries,Planet America,0,29
Michael Smith,tt0081920,7.0,119,tvSeries,Punishment,0,50
Michael Smith,tt0108792,7.0,135,tvSeries,Halfway Across the Galaxy and Turn Left,0,25
Michael Smith,tt0083937,5.6,28,movie,Fighting Back,0,100
Michael Smith,tt0140761,8.1,34,tvSeries,The Restless Years,0,25
David Smith,tt0421199,3.5,933,tvMovie,The Fallen Ones,0,89
Michael Johnson,tt1299347,3.2,105,video,"10,000 A.D.: The Legend of a Black Pearl",0,84
Michael Johnson,tt0252299,6.7,25371,movie,Buffalo Soldiers,0,98
David Smith,tt0376321,8.4,27,video,The War of the Worlds: Great Books,0,52
David Smith,tt0293703,7.5,545,tvMovie,When Dinosaurs Roamed America,0,91
Michael Johnson,tt16183464,6.7,18061,movie,One Piece Film: Red,0,115
David Smith,tt1241226,4.8,533,movie,Locker 13,0,90
Michael Smith,tt0335013,6.2,6781,movie,The Company,0,112
Michael Johnson,tt0385988,3.6,1311,movie,Red Riding Hood,0,82
Michael Johnson,tt0201694,2.6,1128,movie,Longshot,0,93
Michael Johnson,tt0479263,6.2,124,movie,Screw Cupid,0,109
Michael Smith,tt24513716,7.0,13,movie,Nuclear War,0,105
David Smith,tt3348730,5.7,90131,movie,Jigsaw,0,92
David Smith,tt25386356,7.0,17,short,Krog is Definitely an Alien,0,10
Michael Smith,tt1630029,7.6,471511,movie,Avatar: The Way of Water,0,192
Michael Smith,tt0407323,6.2,7,tvMovie,Who Stole Bob Monkhouse's Jokes?,0,50
David Smith,tt6293468,7.6,76,tvSeries,All New Traffic Cops,0,60
Michael Smith,tt0092712,8.1,225,tvSeries,By the Sword Divided,0,50
Michael Smith,tt0077004,8.3,1506,tvSeries,The Duchess of Duke Street,0,50
Chris Smith,tt0188349,6.0,29,tvSeries,New Faces,0,52
Michael Smith,tt3155298,6.4,60559,movie,Luther: The Fallen Sun,0,129
David Smith,tt20158996,7.7,31,movie,Cuarencena,0,90
Michael Smith,tt14547524,5.7,1860,movie,National Champions,0,116
Michael Smith,tt3322314,7.3,137748,tvSeries,Luke Cage,0,55
Michael Smith,tt0136668,8.1,2428,tvSeries,SportsCenter,0,60
David Smith,tt0286218,6.3,539,movie,Thérèse: The Story of Saint Thérèse of Lisieux,0,96
Chris Smith,tt8323628,7.2,2657,tvSeries,My Life with the Walter Boys,0,50
David Smith,tt27331483,7.8,57,movie,Enter the Clones of Bruce,0,100
Michael Smith,tt0095492,5.1,129,movie,Last Man Standing,0,90
